温度,湿度,辐照,间隔,前向,损失
0.87723,0.624594,0.098419,0.0,0.026214,0.022169
0.87723,0.624594,0.098419,0.166667,0.026214,0.02987
0.87723,0.624594,0.098419,0.166667,0.035322,0.042707
0.87723,0.624594,0.098419,0.166667,0.050501,0.057053
0.87723,0.624594,0.098419,0.5,0.067466,0.268929
0.87723,0.624594,0.098419,0.5,0.318011,0.522939
0.87723,0.624594,0.098419,0.5,0.618379,0.616871
0.87723,0.624594,0.098419,0.5,0.729454,0.735419
0.87723,0.624594,0.098419,0.5,0.869638,0.732399
