温度,湿度,辐照,间隔,前向,损失
0.53679,0.0,0.756934,0.0,0.026214,0.022169
0.53679,0.0,0.756934,0.166667,0.026214,0.052523
0.369516,0.116169,0.524307,0.333333,0.062109,0.157026
0.220904,0.340723,0.424098,0.5,0.185685,0.233592
0.528728,0.014928,0.936475,1.0,0.276224,0.565677
0.323089,0.209085,0.512973,1.0,0.668916,0.845661
0.528728,0.014928,0.936475,1.0,1.0,1.0
